"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 29 08:56:52 GMT 2025","Fri Aug 29 08:56:52 GMT 2025","289","LMS service","Users","Create entity","","","Create user",""
"passed","Fri Aug 29 08:56:45 GMT 2025","Fri Aug 29 08:56:45 GMT 2025","34","LMS service","Courses","Create entity","","","Create course",""
"passed","Fri Aug 29 08:56:50 GMT 2025","Fri Aug 29 08:56:51 GMT 2025","269","LMS service","Files","Validate entity","","","Create file with empty directory",""
"passed","Fri Aug 29 08:56:44 GMT 2025","Fri Aug 29 08:56:44 GMT 2025","300","LMS service","Courses","Get entity","","","Get courses",""
"passed","Fri Aug 29 08:56:43 GMT 2025","Fri Aug 29 08:56:44 GMT 2025","287","LMS service","Authentication","Login","","","Login with correct email and password",""
"passed","Fri Aug 29 08:56:52 GMT 2025","Fri Aug 29 08:56:52 GMT 2025","550","LMS service","Users","Create entity","","","Create user",""
"passed","Fri Aug 29 08:56:48 GMT 2025","Fri Aug 29 08:56:48 GMT 2025","291","LMS service","Exercises","Get entity","","","Get exercises",""
"passed","Fri Aug 29 08:56:50 GMT 2025","Fri Aug 29 08:56:50 GMT 2025","259","LMS service","Files","Validate entity","","","Create file with empty filename",""
"passed","Fri Aug 29 08:56:46 GMT 2025","Fri Aug 29 08:56:46 GMT 2025","24","LMS service","Exercises","Create entity","","","Create exercise",""
"passed","Fri Aug 29 08:56:47 GMT 2025","Fri Aug 29 08:56:47 GMT 2025","15","LMS service","Exercises","Get entity","","","Get exercise",""
"passed","Fri Aug 29 08:56:50 GMT 2025","Fri Aug 29 08:56:50 GMT 2025","15","LMS service","Files","Get entity","","","Get file",""
"passed","Fri Aug 29 08:56:53 GMT 2025","Fri Aug 29 08:56:53 GMT 2025","12","LMS service","Users","Get entity","","","Get user me",""
"passed","Fri Aug 29 08:56:51 GMT 2025","Fri Aug 29 08:56:52 GMT 2025","514","LMS service","Users","Create entity","","","Create user",""
"passed","Fri Aug 29 08:56:44 GMT 2025","Fri Aug 29 08:56:45 GMT 2025","303","LMS service","Courses","Update entity","","","Update course",""
"passed","Fri Aug 29 08:56:48 GMT 2025","Fri Aug 29 08:56:48 GMT 2025","288","LMS service","Exercises","Delete entity","","","Delete exercise",""
"passed","Fri Aug 29 08:56:51 GMT 2025","Fri Aug 29 08:56:51 GMT 2025","28","LMS service","Files","Delete entity","","","Delete file",""
"passed","Fri Aug 29 08:56:52 GMT 2025","Fri Aug 29 08:56:52 GMT 2025","264","LMS service","Files","Validate entity","","","Get file with incorrect file id",""
"passed","Fri Aug 29 08:56:47 GMT 2025","Fri Aug 29 08:56:47 GMT 2025","290","LMS service","Exercises","Update entity","","","Update exercise",""
"passed","Fri Aug 29 08:56:49 GMT 2025","Fri Aug 29 08:56:49 GMT 2025","268","LMS service","Files","Create entity","","","Create file",""
