"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","295","Delete file","LMS service","Fri Aug 29 08:26:26 GMT 2025","passed","Fri Aug 29 08:26:26 GMT 2025","Delete entity","Files","",""
"","270","Create file with empty directory","LMS service","Fri Aug 29 08:26:25 GMT 2025","passed","Fri Aug 29 08:26:26 GMT 2025","Validate entity","Files","",""
"","27","Create exercise","LMS service","Fri Aug 29 08:26:21 GMT 2025","passed","Fri Aug 29 08:26:21 GMT 2025","Create entity","Exercises","",""
"","34","Get courses","LMS service","Fri Aug 29 08:26:19 GMT 2025","passed","Fri Aug 29 08:26:19 GMT 2025","Get entity","Courses","",""
"","256","Get file with incorrect file id","LMS service","Fri Aug 29 08:26:26 GMT 2025","passed","Fri Aug 29 08:26:27 GMT 2025","Validate entity","Files","",""
"","548","Create user","LMS service","Fri Aug 29 08:26:26 GMT 2025","passed","Fri Aug 29 08:26:27 GMT 2025","Create entity","Users","",""
"","556","Login with correct email and password","LMS service","Fri Aug 29 08:26:18 GMT 2025","passed","Fri Aug 29 08:26:19 GMT 2025","Login","Authentication","",""
"","16","Get file","LMS service","Fri Aug 29 08:26:25 GMT 2025","passed","Fri Aug 29 08:26:25 GMT 2025","Get entity","Files","",""
"","28","Create file","LMS service","Fri Aug 29 08:26:23 GMT 2025","passed","Fri Aug 29 08:26:23 GMT 2025","Create entity","Files","",""
"","562","Create user","LMS service","Fri Aug 29 08:26:27 GMT 2025","passed","Fri Aug 29 08:26:27 GMT 2025","Create entity","Users","",""
"","19","Delete exercise","LMS service","Fri Aug 29 08:26:22 GMT 2025","passed","Fri Aug 29 08:26:22 GMT 2025","Delete entity","Exercises","",""
"","564","Create user","LMS service","Fri Aug 29 08:26:27 GMT 2025","passed","Fri Aug 29 08:26:27 GMT 2025","Create entity","Users","",""
"","34","Create course","LMS service","Fri Aug 29 08:26:20 GMT 2025","passed","Fri Aug 29 08:26:20 GMT 2025","Create entity","Courses","",""
"","23","Update exercise","LMS service","Fri Aug 29 08:26:21 GMT 2025","passed","Fri Aug 29 08:26:21 GMT 2025","Update entity","Exercises","",""
"","13","Get user me","LMS service","Fri Aug 29 08:26:28 GMT 2025","passed","Fri Aug 29 08:26:28 GMT 2025","Get entity","Users","",""
"","25","Create file with empty filename","LMS service","Fri Aug 29 08:26:25 GMT 2025","passed","Fri Aug 29 08:26:25 GMT 2025","Validate entity","Files","",""
"","45","Update course","LMS service","Fri Aug 29 08:26:20 GMT 2025","passed","Fri Aug 29 08:26:20 GMT 2025","Update entity","Courses","",""
"","29","Get exercises","LMS service","Fri Aug 29 08:26:23 GMT 2025","passed","Fri Aug 29 08:26:23 GMT 2025","Get entity","Exercises","",""
"","48","Get exercise","LMS service","Fri Aug 29 08:26:22 GMT 2025","passed","Fri Aug 29 08:26:22 GMT 2025","Get entity","Exercises","",""
